,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
64,CBS News,"Longtime CBS Capitol hill correspondent Bob Fuss died of leukemia. He covered Congress for us for 17 years, includi… https://t.co/TSZ7YCti7e",Mon May 28 23:02:03 +0000 2018,-0.5574,0.0,0.841,0.159
65,CBS News,It was 50 years ago next week that Senator Robert Kennedy was assassinated in Los Angeles as he was running for the… https://t.co/YytS6qUfYq,Mon May 28 22:59:11 +0000 2018,0.0,0.0,1.0,0.0
66,CBS News,The forecast is looking a bit brighter for a summit next month between President Trump and North Korean Leader Kim… https://t.co/6lkHfP71d0,Mon May 28 22:56:45 +0000 2018,0.3818,0.126,0.874,0.0
67,CBS News,A 22-year-old migrant from Mali scaled the outside of a building without any equipment to rescue a young child in P… https://t.co/K03H2EGXaX,Mon May 28 22:52:35 +0000 2018,0.5106,0.155,0.845,0.0
68,CBS News,"Former President George H.W. Bush, a decorated war hero himself, is spending Memorial Day in a hospital in Maine. C… https://t.co/VrcJtADXMJ",Mon May 28 22:49:01 +0000 2018,-0.0772,0.147,0.694,0.159
69,CBS News,Subtropical Storm Alberto made landfall on Laguna Beach. Storm surge and tropical storm warnings are up in Alabama… https://t.co/mRpJQgIlVD,Mon May 28 22:44:00 +0000 2018,-0.296,0.0,0.891,0.109
70,CBS News,The search is on for an Air Force veteran who went missing last night in the devastating flash flood in Ellicott Ci… https://t.co/1lh6zebgs6,Mon May 28 22:37:37 +0000 2018,-0.7579,0.0,0.764,0.236
71,CBS News,"Subtropical Storm Alberto made landfall on Laguna Beach, Florida, bringing threats of heavy rain and flash floods… https://t.co/ABfV9RxJsV",Mon May 28 22:04:56 +0000 2018,-0.4215,0.0,0.859,0.141
72,CBS News,Woman going through withdrawal dies at New Orleans jail https://t.co/twK4YvKNIS https://t.co/esnoxYd4jI,Mon May 28 21:40:54 +0000 2018,0.0258,0.099,0.901,0.0
73,CBS News,"Starbucks, trying to put to rest an outcry over the arrest of two black men at one of its stores, is closing more t… https://t.co/OS0aDBLgV0",Mon May 28 21:20:55 +0000 2018,-0.6908,0.0,0.801,0.199
74,CBS News,"The White House says President Trump and Japanese Prime Minister Shinzo Abe plan to meet in advance of the ""expecte… https://t.co/AoeNqnt1PM",Mon May 28 21:00:37 +0000 2018,0.0,0.0,1.0,0.0
75,CBS News,A worker at a Florida Little Ceasars pizza shop shot and killed a man in a clown mask who attacked him with a woode… https://t.co/fpoA25fZlJ,Mon May 28 20:40:39 +0000 2018,-0.8176,0.0,0.706,0.294
76,CBS News,"New Zealand plans to kill 150,000 cows in effort to eradicate disease https://t.co/V2tVgHGBqe https://t.co/V97Hawwp9K",Mon May 28 20:20:57 +0000 2018,-0.6908,0.0,0.734,0.266
